Provider_ID,SSPS,License_ID,License_Cert,Authority,Name,License_Starts,License_Expires,Phone,Email,Capacity,Ages,AgeFromMonths,AgeToMonths,EarlyAchieversStatus,Addr1,Addr2,Addr3,City,State,Zip,County,ServiceArea,Latitude,Longitude
306615,763998,890800,Certified,Government,AC DAVIS HIGH SCHOOL CC,8/29/2006,,5095732596,bulfinch.heather@yakimaschools.org,10,1 month to 4 years,1,48,Level 3,212 S 6TH AVE,,,YAKIMA,WA,98902,Yakima,Region 2 Northwest,46.596969,-120.516125
77688,803413,883663,Licensed,DEL,Achievement Center Preschool & Daycare,11/5/1989,,2535653030,achievementcenter253@gmail.com,113,1 month to 10 years,1,120,"Participating, not yet rated",2421 70th Avenue W,,Mary Quinlan,Tacoma,WA,98466,Pierce,Region 3 Southwest,47.2372658,-122.529501
1306328,104831,1048818,Licensed,DEL,Adelines Playschool,12/18/2017,5/17/2018,4256775146,adelinesplayschool@gmail.com,37,18 months to 12 years 11 months,18,155,Not Participating,7924 40th St W,,,University Pl,WA,98466,Pierce,Region 3 Southwest,,
221022,800314,847715,Licensed,DEL,ADNA CHILD CARE CENTER,8/25/1999,,3607484631,crestedahtfan@msn.com,18,2 years 6 months to 6 years,30,72,Level 3,179 DIECKMAN ROAD,,,ADNA,WA,98522,Lewis,Region 3 Southwest,46.6339881,-123.0602269
663946,360271,750769,Licensed,DEL,Advent Lutheran Child Care Center,2/7/2012,,5099280231,adventlutheranchildcenter@gmail.com,101,1 month to 13 years,1,156,Level 3,13009 E Broadway,,,Spokane Valley,WA,99216,Spokane,Region 1 Eastern,47.664873,-117.229703
685010,585168,703671,Licensed,DEL,ADVENTURE KIDS PLAYCARE,8/6/2012,,4254534444,akpbellevue@gmail.com,108,1 month to 13 years,1,156,Not Enrolled,1100 Bellevue Way NE Ste 1,,,Bellevue,WA,98004,King,Region 2 Northwest,47.6201535,-122.2016907
495972,549987,891656,Licensed,DEL,ADVENTURE KIDS PLAYCARE,8/30/2010,,4253915358,issaquah@adventurekidsplaycare.com,59,1 month to 13 years,1,156,"Participating, not yet rated",775 NW GILMAN BLVD. C-3,,,Issaquah,WA,98027,King,Region 2 Northwest,47.542823,-122.05007
1002211,820658,816698,Licensed,DEL,Adventure Land Learning Center,11/30/2015,,5099265600,smallwondersllc@comcast.net,45,2 years 6 months to 13 years,30,156,"Participating, not yet rated",15319 E 8th Ave,,,Spokane Valley,WA,99037,Spokane,Region 1 Eastern,47.650659,-117.198631
223922,145647,1075849,Licensed,DEL,ADVENTURES IN LEARNING,10/11/1999,,3606870185,director@adventuresinlearninginc.com,17,2 years 6 months to 8 years 11 months,30,107,Not Enrolled,10814 NE 189TH STREET,,,BATTLE GROUND,WA,98604,Clark,Region 3 Southwest,45.7587537,-122.5609086
190827,265812,679684,Licensed,DEL,Agape Infant Through Young Preschool Center,6/10/1997,,2067835967,lrgleason43@yahoo.com,31,3 months to 3 years,3,36,Level 3,7737 24TH AVE NW,,,SEATTLE,WA,98117,King,Region 4 South King Co,47.68616,-122.387936
206313,581519,815769,Licensed,DEL,Agape Pre K Center,8/1/1998,,2068162064,lrgleason43@yahoo.com,20,3 years 6 months to 6 years,42,72,Level 3,7747 24th Ave NW,,,SEATTLE,WA,98117,King,Region 4 South King Co,47.686329,-122.387937
151807,311067,862654,Licensed,DEL,Agape Unlimited,8/2/1995,,3603731529,tturnley@agapekitsap.org,10,1 month to 10 years,1,120,Not Enrolled,Agape Unlimited,806 Bay Street,,Port Orchard,WA,98366,Kitsap,Region 3 Southwest,47.5413583,-122.6358389
732827,187362,802744,Licensed,DEL,Agape Unlimited Childcare,3/19/2013,,3603731529,jfuchs@agapekitsap.org,12,1 month to 12 years,1,144,Not Enrolled,4841 Auto Center Way,,Suite #101,Bremerton,WA,98312,Kitsap,Region 3 Southwest,47.5624777,-122.6790832
902237,695096,756851,Licensed,DEL,Ages In Stages Childcare - Des Moines,4/6/2015,,2066537165,stacie@agesinstageschildcare.com,81,1 month to 12 years 11 months,1,155,"Participating, not yet rated",22038 9TH AVE S,,,Des Moines,WA,98198,King,Region 4 South King Co,47.4037303,-122.3220232
659002,598238,669699,Licensed,DEL,Ages in Stages Childcare II,4/10/2012,,2064384650,stacie@agesinstageschildcare.com,34,1 month to 12 years,1,144,Level 3,9461 Olson Place SW,,,Seattle,WA,98106,King,Region 4 South King Co,47.518234,-122.339993
288097,635049,943812,Licensed,DEL,AGES IN STAGES CHILDCARE LLC,10/12/2004,,2067625683,Stacie@Agesinstageschildcare.com,48,1 month to 12 years,1,144,Level 3,8658 9TH AVE SW,,,SEATTLE,WA,981062513,King,Region 4 South King Co,47.524803,-122.346349
750046,261706,830662,Licensed,DEL,Ages In Stages Pre-K School Age,6/21/2013,,2066590174,stacie@agesinstageschildcare.com,31,birth to birth,0,0,Level 2,8659 9th Ave SW,,,Seattle,WA,98106,King,Region 4 South King Co,47.5248691,-122.3467463
1073382,944113,1087661,Licensed,DEL,Aha 2 Childcare and Family Learning Center,7/5/2016,,3605941445,ahachildcare1933@gmail.com,50,2 years 6 months to 13 years,30,156,"Participating, not yet rated",5353 Waschke Rd,,,Bellingham,WA,98226,Whatcom,Region 2 Northwest,48.8353061,-122.5298606
878232,568604,1075787,Licensed,DEL,Aha Childcare and Family Learning Center,11/7/2014,,3605941445,ahachildcare1933@gmail.com,39,12 months to 7 years,12,84,Level 3,1933 Main Street,,,Ferndale,WA,98248,Whatcom,Region 2 Northwest,48.844366,-122.586621
325424,86552,945981,Licensed,DEL,Alice's Precious Jewels,6/10/2008,,2533835021,alexkev77@alexkev77.comcastbiz.net,55,1 month to 12 years,1,144,"Participating, not yet rated",3706 S Manitou Way,,Alice King,Tacoma,WA,98409,Pierce,Region 3 Southwest,47.2245522,-122.4925898
806162,407209,901731,Licensed,DEL,Alki Beach Academy Inc,2/12/2014,,2065104330,alkibeachacademy@gmail.com,127,1 month to 12 years 11 months,1,155,Not Enrolled,2414 SW Andover St Suite F-102,,,Seattle,WA,98106,King,Region 4 South King Co,47.5687617,-122.363743
169483,442111,883653,Licensed,DEL,ALL ABOUT KIDS INFANT & CHILDCARE CENTER,12/1/1995,,2069384468,dcg457@aol.com,40,1 month to 6 years,1,72,Level 3,2207 California Ave SW,,,Seattle,WA,98116,King,Region 4 South King Co,47.583649,-122.386835
878219,590991,1075786,Licensed,DEL,All About Kids Preschool,11/14/2014,,3602791918,neice@hotmail.com,38,2 years 6 months to 7 years,30,84,"Participating, not yet rated",390 NE Midway Blvd,,"Suites B101, 105, 106",Oak Harbor,WA,98277,Island,Region 2 Northwest,48.3007418,-122.6424777
923176,721038,891721,Licensed,DEL,All Blessed Children Early Learning Center,7/1/2015,,2534261126,taywinston@ymail.com,16,12 months to 5 years 11 months,12,71,Level 3,1620 South Adams Street,,,Tacoma,WA,98405,Pierce,Region 3 Southwest,47.245177,-122.486703
938187,791298,1015701,Licensed,DEL,All Saints Catholic School Child Care Center,9/1/2015,,2538455025,aorm@allsaintsparish.com,29,18 months to 5 years,18,60,Not Enrolled,504 2nd Street SW,,,Puyallup,WA,98371,Pierce,Region 3 Southwest,47.1877973,-122.2954069
684916,240906,767675,Licensed,DEL,All Saints Catholic School Preschool and Early Learning Ctr,12/24/2012,,2539225360,amyorm@allsaintspuyallup.org,50,2 years 6 months to 12 years 11 months,30,155,"Participating, not yet rated","2323 54th Ave., E",,,Fife,WA,98424,Pierce,Region 3 Southwest,47.2360927,-122.3571497
31031,546764,907721,Licensed,DEL,ALL SEASONS PRESCHOOL,2/26/1996,,5096246377,magmcgrew@comcast.net,30,12 months to 10 years,12,120,"Participating, not yet rated",4804 W 34TH AVE,,,SPOKANE,WA,99224,Spokane,Region 1 Eastern,47.624061,-117.480946
278995,117401,750817,Licensed,DEL,ALPHA MONTESSORI,1/15/2005,,2063671113,alpha.montessori@outlook.com,32,2 years 6 months to 5 years 11 months,30,71,Not Enrolled,Alpha Montesorri LLC,14410 GREENWOOD AVE N,,SEATTLE,WA,98133,King,Region 2 Northwest,47.733536,-122.3550985
291817,406387,922673,Licensed,DEL,Alphabet Preschool,3/29/2005,,2534450500,alphabetpreschoolg@hotmail.com,155,1 month to 13 years,1,156,Level 3,1822 EAST PIONEER,,,PUYALLUP,WA,98372,Pierce,Region 3 Southwest,47.187382,-122.269758
139396,144898,910698,Licensed,DEL,Alphabet Preschool,3/11/1993,,2534730420,tiatete80@yahoo.com,99,1 month to 12 years,1,144,Level 2,Alphabet A,2305 S Tacoma Way,Stephanie Snell,Tacoma,WA,98409,Pierce,Region 3 Southwest,47.2317968,-122.4673395
189555,202098,727659,Licensed,DEL,Alphabet Preschool C,9/16/1997,,2534741372,alphabetc2008@gmail.com,61,1 month to 12 years,1,144,Level 2,Alphabet C,5419 S Puget Sound Avenue,Shonte' Bobbitt,Tacoma,WA,98409,Pierce,Region 3 Southwest,47.2073273,-122.4820952
269047,860992,675674,Licensed,DEL,Alphabet Preschool Center E,5/12/2003,,2534726068,rossdavidjames@hotmail.com,59,1 month to 12 years 11 months,1,155,Level 3,7607 Lakewood Drive SW,,,Lakewood,WA,98499,Pierce,Region 3 Southwest,47.1845264,-122.5085614
825306,505486,992653,Licensed,DEL,Alphabet Soup Childcare Center,7/1/2014,,3603789166,sji@alphabetsouppreschools.com,32,12 months to 7 years,12,84,Level 3,300 MARGUERITE PLACE,,,Friday Harbor,WA,98250,San Juan,Region 2 Northwest,48.533464,-123.026521
292492,470079,943831,Licensed,DEL,Altamese Academy of Angels,5/20/2005,,2533271152,academyofangels@gmail.com,26,1 month to 12 years,1,144,"Participating, not yet rated",Altamese Academy of Angels,1307 S 14th Street,Altamese Martin,Tacoma,WA,98405,Pierce,Region 3 Southwest,47.2487597,-122.454293
890246,602317,704761,Licensed,DEL,Altamese Academy of Angels II,1/26/2015,,2533271007,academyofangels@gmail.com,20,12 months to 6 years,12,72,"Participating, not yet rated",Altamese Academy of Angels II,1220 South 23rd St.,Altamese Martin,Tacoma,WA,98405,Pierce,Region 3 Southwest,47.2392102,-122.4515189
280647,195601,802736,Licensed,DEL,ALVAREZ CHILD CARE CENTER,4/19/2004,,5098373976,alvarezchildcarecenter@yahoo.com,76,1 month to 13 years,1,156,"Participating, not yet rated",804 EAST DECATUR AVENUE,,,SUNNYSIDE,WA,98944,Yakima,Region 1 Eastern,46.325337,-120.009637
30296,541836,845754,Licensed,DEL,AMERICAS BEST CHILDCARE,4/2/1990,,4253381234,abcsilverlake@gmail.com,49,12 months to 10 years,12,120,"Participating, not yet rated",2427 - 132ND STREET SE,,,EVERETT,WA,98208,Snohomish,Region 2 Northwest,47.878628,-122.199124
30863,545622,651671,Licensed,DEL,AMERICAS CHILD MONTESSORI,8/4/1994,,4256415437,americaschildmontessori@hotmail.com,80,2 years 6 months to 10 years,30,120,"Participating, not yet rated",KEBELY CORP.,14340 NE 21ST ST,,BELLEVUE,WA,98007,King,Region 2 Northwest,47.6294891,-122.148919
234347,503447,891693,Licensed,DEL,Annas Childcare,7/10/2000,,2535839180,lclentertainment@aol.com,23,12 months to 12 years 11 months,12,155,"Participating, not yet rated",9609 Bristol Ave. SW,,,Lakewood,WA,98499,Pierce,Region 3 Southwest,47.1697842,-122.5178768
248668,132426,741665,Licensed,DEL,Annas Childcare II,10/9/2001,,2535839180,acdc2t@aol.com,24,2 years 6 months to 12 years 11 months,30,155,"Participating, not yet rated",6018 MT TAHOMA DR SW,,,LAKEWOOD,WA,98499,Pierce,Region 3 Southwest,,
70444,768840,1072737,Licensed,DEL,ANOTHER BEST CHILDCARE & LEARNING CENTER,10/24/1991,,4252901234,abceverettmall@gmail.com,44,12 months to 13 years,12,156,"Participating, not yet rated",9605 7TH AVE SE,,,EVERETT,WA,98208,Snohomish,Region 2 Northwest,47.910939,-122.222868
833157,486607,973693,Licensed,DEL,ANOTHER BEST CHILDCARE KIDS ZONE INC,6/25/2014,,3606531212,abcmarysville@gmail.com,61,12 months to 13 years,12,156,"Participating, not yet rated",11603 STATE AVE,,,Marysville,WA,98271,Snohomish,Region 2 Northwest,48.1003251,-122.1735411
182530,846699,1084660,Licensed,DEL,Another Best Childcare Whispering Pines,6/1/1997,,4257441212,abclynnwood@gmail.com,49,12 months to 13 years,12,156,"Participating, not yet rated",18133 52ND AVE W SUITE 102,,,LYNNWOOD,WA,98037,Snohomish,Region 2 Northwest,47.8342166,-122.3034914
558044,49389,880675,Licensed,DEL,Apple A Daycare Learning Center,11/19/2010,,5096631138,songsmith1@nwi.net,43,1 month to 7 years,1,84,Level 3,1600 N Western Ave,,,Wenatchee,WA,98801,Chelan,Region 2 Northwest,47.446392,-120.346752
984214,826733,1025719,Licensed,DEL,Apple Tree Montessori,10/14/2015,4/11/2018,2539702469,appletreemontessori1@yahoo.com,27,12 months to 5 years,12,60,Not Enrolled,3333 GRIFFIN AVE,,,Enumclaw,WA,98022,King,Region 4 South King Co,47.2078738,-122.0132931
254819,447988,901658,Licensed,DEL,APPLE VALLEY CHILD CARE,1/31/2002,,5094573591,angelicas1977@aol.com,24,12 months to 8 years,12,96,"Participating, not yet rated",1020 S 26TH AVE,,,YAKIMA,WA,98902,Yakima,Region 2 Northwest,46.5863186,-120.5435362
293128,640658,1019778,Licensed,DEL,ARBOR SCHOOLS,9/8/2005,,4253923866,sean@arborschools.com,83,1 month to 6 years,1,72,Level 3,1107 228TH AVE SE,,,SAMMAMISH,WA,98075,King,Region 2 Northwest,47.5998273,-122.0355384
14680,769955,741657,Licensed,DEL,Arcadia Learning Center,10/4/1991,,2537526463,carmela@harbornet.com,45,3 years to 9 years 11 months,36,119,Level 3,6312 NORTH 30TH ST,,,TACOMA,WA,98407,Pierce,Region 3 Southwest,47.2743789,-122.5207548
699739,93451,750736,Licensed,DEL,Arcadia Learning Center Inc Gig Harbor,10/1/2012,,2538581114,carmela@harbornet.com,24,2 years 5 months to 9 years,29,108,Level 3,Arcadia Montessori,13302 Cresent Valley Dr NW,Carmela Micheli,Gig Harbor,WA,98332,Pierce,Region 3 Southwest,47.3782256,-122.5777446
541923,726982,908743,Certified,Government,ARDMORE CHILDCARE,9/3/2010,,4254564741,myerss@bsd405.org,90,12 months to 13 years,12,156,Level 4,16616 NE 32ND ST,,,Bellevue,WA,98008,King,Region 2 Northwest,47.6386832,-122.1187658
151904,993366,668837,Licensed,DEL,ARISE N SHINE PRESCHOOL,4/11/1995,,4252280834,arise.shine@hotmail.com,35,12 months to 6 years,12,72,"Participating, not yet rated",310 WHITWORTH AVE S,,,Renton,WA,98057,King,Region 4 South King Co,47.479197,-122.211666
134596,73318,1014667,Licensed,DEL,ARK AT CROSS OF CHRIST DAYCARE,9/15/1993,,4256445414,arkchildcare@qwestoffice.net,40,2 months to 6 years,2,72,Level 3,411 156TH AVE NE,,,BELLEVUE,WA,98007,King,Region 2 Northwest,47.6135311,-122.1323616
599962,843666,929673,Licensed,DEL,Ascend to the Heights Child Development Center,4/25/2011,,5093273311,ascendtotheheights@msn.com,147,1 month to 13 years,1,156,Level 3,116 W Indiana Ave,,,Spokane,WA,99205,Spokane,Region 1 Eastern,47.675248,-117.413584
912213,650183,795675,Licensed,DEL,Assumption Catholic Preschool,8/25/2015,,3607336133,MSchulte@school.assumption.org,26,3 years to 6 years,36,72,Not Enrolled,2116 Cornwall Ave,,,Bellingham,WA,98225,Whatcom,Region 2 Northwest,48.7584683,-122.4735783
88055,853904,722695,Licensed,DEL,ASSUMPTION CHILDCARE CENTER,8/30/1988,,5095259478,merikson@thewwcs.com,30,2 years 6 months to 12 years,30,144,Level 3,2096 E ALDER AVENUE,,,WALLA WALLA,WA,99362,Walla Walla,Region 1 Eastern,46.0676288,-118.2935595
143643,376748,726672,Licensed,DEL,ASSUMPTION SCHOOL EXTENDED CARE,9/5/1991,,5093281115,tromano@dioceseofspokane.org,25,3 years to 13 years,36,156,Not Enrolled,3618 W INDIAN TRAIL RD,,,SPOKANE,WA,992084734,Spokane,Region 1 Eastern,47.7209605,-117.4649206
1228213,81458,972658,Licensed,DEL,Assumption St Bridget School PreK Extended Care Program,9/5/2017,3/2/2018,2065247452,prekec@asbschool.org,20,3 years to 5 years,36,60,Not Enrolled,6201 33rd Ave NW,,,Seattle,WA,98115,King,Region 4 South King Co,47.6744421,-122.2925411
845178,544876,1012666,Licensed,DEL,Aster Montessori,8/25/2014,,4252703226,info@astermontessori.com,40,2 years 6 months to 6 years,30,72,"Participating, not yet rated",2825 244th Ave SE,,,Sammamish,WA,98075,King,Region 2 Northwest,47.583658,-122.0147
1038209,921353,1019827,Licensed,DEL,Auntie's Playhouse Childcare Center LLC,4/20/2016,,2065926141,auntie.renee@auntiesplayhouse.com,92,1 month to 6 years,1,72,"Participating, not yet rated",19805 1ST AVE S #101,,,Normandy Park,WA,98148,King,Region 4 South King Co,47.4249223,-122.3374749
8161,223894,816790,Licensed,DEL,Bainbridge Children's Center,5/11/1989,,2067801870,slong@biccc.org,20,2 years 6 months to 6 years,30,72,Not Enrolled,502 CAVE AVE NE,,,BAINBRIDGE ISLAND,WA,981101941,Kitsap,Region 3 Southwest,47.628911,-122.512773
132501,527328,722770,Licensed,DEL,BALLARD FIRST LUTHERAN CHURCH,9/1/1994,,2067841307,bflccc@yahoo.com,83,2 months to 6 years,2,72,Not Enrolled,6521 20th Ave NW,,,SEATTLE,WA,98117,King,Region 4 South King Co,47.676589,-122.3822951
853211,519118,1018723,Licensed,DEL,BAMBINI MONTESSORI LEARNING CENTER,9/9/2014,,4257424580,schoolbambini@gmail.com,38,2 years 6 months to 11 years,30,132,Not Enrolled,14727 42ND AVE W,,,Lynnwood,WA,98087,Snohomish,Region 2 Northwest,47.864386,-122.289628
320464,997564,897703,Licensed,DEL,Bananas Preschool,12/17/2007,,3606818618,bananas4kids@gmail.com,12,12 months to 7 years,12,84,"Participating, not yet rated",412 N Haller Avenue,,,Sequim,WA,98382,Clallam,Region 3 Southwest,48.0829499,-123.088482
984190,862649,865686,Licensed,DEL,Banbury Corner Children's Center,12/1/2015,,3609123363,angelineparrish@gmail.com,58,1 month to 7 years,1,84,"Participating, not yet rated",305 N. Eunice St.,,,Port Angeles,WA,98362,Clallam,Region 3 Southwest,48.116348,-123.420336
2638,70968,657703,Licensed,DEL,Bates Early Childhood Learning Center,2/11/1997,,2536807320,wnewby@bates.ctc.edu,66,1 month to 12 years,1,144,Level 4,1101 SO YAKIMA AVENUE #M-117,,,TACOMA,WA,98405,Pierce,Region 3 Southwest,47.2524469,-122.4473543
865176,932508,1025653,Licensed,DEL,Bates Early Childhood Learning Center South,9/22/2014,,2536807320,wnewby@bates.ctc.edu,20,3 years to 5 years,36,60,Level 4,2201 South 78th St.,,Portable G,Tacoma,WA,98409,Pierce,Region 3 Southwest,47.1881186,-122.4654769
4327,114665,828794,Licensed,DEL,Bayview Manor,8/22/1995,,2062815786,jschooley@bayviewseattle.org,44,3 months to 5 years,3,60,Not Enrolled,20 West Queen Anne Drive Way,,,Seattle,WA,98119,King,Region 4 South King Co,47.6384586,-122.3674079
288262,372387,890804,Licensed,DEL,BBCC Learning Center,12/10/2004,,5097932173,angelaw@bigbend.edu,77,1 month to 13 years,1,156,Level 3,7726 Bolling Street NE,,,Moses Lake,WA,98837,Grant,Region 2 Northwest,47.1860462,-119.3226273
235218,540179,1075725,Payment Only,Military,BEACHWOOD CHILD,6/1/2000,,2539672600,julia.michener@us.army.mil,250,1 month to 5 years,1,60,"Participating, not yet rated","Bldg 8300, American Lake Drive",,,Joint Base Lewis McChord,WA,98433,Pierce,Region 3 Southwest,47.117537,-122.589889
167822,387271,842726,Licensed,DEL,BEAUTIFUL SAVIOR LUTHERAN DAY CARE,9/11/1995,,5097472533,bslcdaycare@gmail.com,15,2 years 6 months to 9 years,30,108,Not Enrolled,4324 S CONKLIN,,,Spokane,WA,99203,Spokane,Region 1 Eastern,47.6141198,-117.3962333
648912,538751,653669,Licensed,DEL,Beginnings 2 Child Care Center At Queen Anne,9/25/2012,,2062831007,beginmbm@gmail.com,39,3 months to 6 years,3,72,Not Enrolled,1617 1st Ave W,,,Seattle,WA,98119,King,Region 4 South King Co,47.63414,-122.3586188
6481,171926,596653,Licensed,DEL,Beginnings CC 1,2/19/1992,,2066048370,admin@seattlebegin.org,43,2 months to 6 years,2,72,Not Enrolled,1821 15TH AVE,,,SEATTLE,WA,98122,King,Region 4 South King Co,47.618347,-122.31306
303505,759146,744723,Licensed,DEL,Beginnings Child Care Center,9/25/2006,,2538581654,tiffanyatbeginnings@gmail.com,65,1 month to 12 years,1,144,Not Enrolled,3909 GRANDVIEW ST,,,GIG HARBOR,WA,98335,Pierce,Region 3 Southwest,47.323832,-122.591874
294711,681069,857655,Licensed,DEL,Bel-Red Bilingual Academy,9/8/2005,,4252830717,principal@brbacademy.com,50,2 years 6 months to 5 years 6 months,30,66,Not Enrolled,15061 BEL RED RD,,,BELLEVUE,WA,98007,King,Region 2 Northwest,47.627321,-122.137939
849183,561901,1005684,Licensed,DEL,Bella Mente ELC,9/15/2014,,2069354147,laurenadams83@aol.com,96,3 months to 5 years 11 months,3,71,Not Enrolled,6007 CALIFORNIA AVE SW,,,Seattle,WA,98136,King,Region 4 South King Co,47.548208,-122.387619
